Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
,,,,,,,,
Group:Cereals,,,,,,,,
,,,,,,,,
Palwal,1.6,Tonnes,Cabbage,1000,1500,1250,Rs/Quintal,Cabbage
Panipat,7.4,Tonnes,Other,1200,1600,1400,Rs/Quintal,Cabbage
Radaur,2,Tonnes,Other,1500,2000,1800,Rs/Quintal,Cabbage
Safidon,4.5,Tonnes,Cabbage,4000,4000,4000,Rs/Quintal,Cabbage
Shahabad,0.48,Tonnes,Cabbage,2000,2200,2100,Rs/Quintal,Cabbage
Thanesar,2.1,Tonnes,Cabbage,1000,2000,1500,Rs/Quintal,Cabbage
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Other,2500,3000,2800,Rs/Quintal,Capsicum
Barara,0.05,Tonnes,Other,2500,2500,2500,Rs/Quintal,Capsicum
Ganaur,1,Tonnes,Capsicum,5000,6000,5500,Rs/Quintal,Capsicum
Jagadhri,0.17,Tonnes,Other,2800,3500,3000,Rs/Quintal,Capsicum
Ladwa,0.2,Tonnes,Capsicum,5000,5500,5300,Rs/Quintal,Capsicum
Meham,2,Tonnes,Capsicum,4000,4000,4000,Rs/Quintal,Capsicum
Naraingarh,0.32,Tonnes,Capsicum,1500,3000,2500,Rs/Quintal,Capsicum
Narnaul,0.2,Tonnes,Other,5000,5000,5000,Rs/Quintal,Capsicum
"New Grain Market(main), Karnal",1,Tonnes,Other,2500,4500,3500,Rs/Quintal,Capsicum
Radaur,1,Tonnes,Capsicum,3500,4000,3600,Rs/Quintal,Capsicum
Raipur Rai,0.6,Tonnes,Capsicum,2000,2500,2000,Rs/Quintal,Capsicum
Sadhaura,0.1,Tonnes,Capsicum,3400,3400,3400,Rs/Quintal,Capsicum
Shahabad,0.19,Tonnes,Capsicum,4000,4500,4200,Rs/Quintal,Capsicum
Shahzadpur,0.1,Tonnes,Capsicum,2600,2600,2600,Rs/Quintal,Capsicum
Sonepat,1.6,Tonnes,Other,2400,2600,2600,Rs/Quintal,Capsicum
Tauru,0.1,Tonnes,Capsicum,6000,6000,6000,Rs/Quintal,Capsicum
Thanesar,1.2,Tonnes,Capsicum,3000,5000,4000,Rs/Quintal,Capsicum
,,,,,,,,
Ambala Cantt.,1.4,Tonnes,Carrot,1000,1200,1100,Rs/Quintal,Carrot
Ladwa,0.1,Tonnes,Carrot,6000,6000,6000,Rs/Quintal,Carrot
Naraingarh,0.06,Tonnes,Carrot,1500,2000,1750,Rs/Quintal,Carrot
Shahabad,0.17,Tonnes,Carrot,2500,2500,2500,Rs/Quintal,Carrot
Sonepat,0.4,Tonnes,Other,4000,4400,4400,Rs/Quintal,Carrot
Thanesar,0.5,Tonnes,Carrot,1500,2500,2000,Rs/Quintal,Carrot
,,,,,,,,
Ambala Cantt.,1.4,Tonnes,Cauliflower,1600,3000,2800,Rs/Quintal,Cauliflower
Barwala,1,Tonnes,Other,3000,4000,3500,Rs/Quintal,Cauliflower
Barwala(Hisar),0.7,Tonnes,Other,2500,3000,2800,Rs/Quintal,Cauliflower
Faridabad,1.98,Tonnes,Cauliflower,2000,3500,2750,Rs/Quintal,Cauliflower
Ganaur,0.3,Tonnes,Other,3500,4000,3800,Rs/Quintal,Cauliflower
Gurgaon,14.6,Tonnes,Other,2000,4000,3000,Rs/Quintal,Cauliflower
Hansi,0.8,Tonnes,Other,4000,4000,4000,Rs/Quintal,Cauliflower
